true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.005,4.0,870373330,False,23,0.004980535581117701,0.004818428856358286,0.005142642305877116,True
0.005,4.0,1049834715,False,23,0.004934308350178322,0.004772201625418907,0.005096415074937737,True
0.005,4.0,1002834722,False,22,0.004813165481425479,0.004651058756666064,0.004975272206184894,True
0.005,4.0,424425140,False,23,0.004968518350009183,0.004806411625249768,0.005130625074768598,True
0.005,4.0,1634680899,False,23,0.004994939918159472,0.004832833193400057,0.005157046642918888,True
0.005,4.0,1967421191,False,22,0.004821399869479714,0.004659293144720298,0.004983506594239129,True
0.005,4.0,1598131613,False,23,0.004983453859706803,0.004821347134947388,0.005145560584466218,True
0.005,4.0,1684894963,False,23,0.004952916393849045,0.00479080966908963,0.0051150231186084605,True
0.005,4.0,1498265033,False,23,0.004974954847796769,0.0048128481230373535,0.005137061572556184,True
0.005,4.0,1477590963,False,23,0.004972604734444156,0.004810498009684741,0.005134711459203571,True
0.005,4.0,1310964106,False,23,0.004971936442034834,0.004809829717275419,0.005134043166794249,True
0.005,4.0,774516895,False,23,0.005006751955289515,0.0048446452305301,0.0051688586800489305,True
0.005,4.0,1590395539,False,22,0.004845272873273702,0.004683166148514287,0.005007379598033117,True
0.005,4.0,369881587,False,23,0.005042698831063876,0.0048805921063044605,0.005204805555823291,True
0.005,4.0,1849190890,False,23,0.004948589322252352,0.004786482597492937,0.005110696047011767,True
0.005,4.0,1775141466,False,23,0.004936202793363241,0.004774096068603826,0.005098309518122656,True
0.005,4.0,1903565655,False,23,0.004980687107330712,0.004818580382571297,0.005142793832090127,True
0.005,4.0,372142703,False,23,0.004996862546772076,0.004834755822012661,0.005158969271531491,True
0.005,4.0,2037824009,False,22,0.004852165232472344,0.0046900585077129285,0.005014271957231759,True
0.005,4.0,926096862,False,24,0.00508937188364137,0.004927265158881955,0.005251478608400785,True
0.005,4.0,217757568,False,22,0.004821666962627638,0.004659560237868223,0.004983773687387053,True
0.005,5.0,800246603,False,23,0.004959732373487782,0.00483004699368025,0.005089417753295314,True
0.005,5.0,636178328,False,23,0.005013524386985283,0.0048838390071777515,0.005143209766792815,True
0.005,5.0,1487655498,False,23,0.0050296802316223965,0.004899994851814865,0.005159365611429928,True
0.005,5.0,663984924,False,23,0.005026441883236785,0.0048967565034292535,0.005156127263044317,True
0.005,5.0,1691532912,False,23,0.005020912078007673,0.004891226698200141,0.005150597457815205,True
0.005,5.0,576856375,False,23,0.0049601775702118565,0.004830492190404325,0.005089862950019388,True
0.005,5.0,186240487,False,23,0.004946179904133472,0.0048164945243259405,0.005075865283941004,True
0.005,5.0,1129053497,False,24,0.0051197409837864995,0.004990055603978968,0.005249426363594031,True
0.005,5.0,1740346887,False,23,0.004980833941204324,0.004851148561396792,0.005110519321011856,True
0.005,5.0,596177529,False,23,0.0049727583556823055,0.004843072975874774,0.005102443735489837,True
0.005,5.0,357691072,False,23,0.00506189941994238,0.0049322140401348484,0.005191584799749912,True
0.005,5.0,1196417333,False,23,0.005011377338245679,0.004881691958438147,0.005141062718053211,True
0.005,5.0,1818210438,False,23,0.005044099457761157,0.004914414077953625,0.005173784837568689,True
0.005,5.0,1405066951,False,23,0.004937794024550287,0.004808108644742755,0.005067479404357819,True
0.005,5.0,2121256837,False,23,0.004951507382265153,0.004821822002457621,0.0050811927620726845,True
0.005,5.0,924270760,False,23,0.005058373881163029,0.0049286885013554976,0.005188059260970561,True
0.005,5.0,1624024636,False,23,0.004918730911620831,0.0047890455318133,0.005048416291428363,True
0.005,5.0,1299046073,False,23,0.004970282571141117,0.0048405971913335856,0.005099967950948649,True
0.005,5.0,780944204,False,23,0.004969573897698122,0.00483988851789059,0.005099259277505654,True
0.005,5.0,718837163,False,23,0.005038731046825228,0.004909045667017696,0.00516841642663276,True
0.005,5.0,1905626893,False,23,0.004974622696460819,0.0048449373166532875,0.005104308076268351,True
0.005,5.0,1859359763,False,23,0.005003641741151928,0.004873956361344396,0.0051333271209594595,True
0.005,5.0,1690262166,False,23,0.00495049089407543,0.004820805514267898,0.005080176273882962,True
0.005,5.0,314202385,False,24,0.005225711330545533,0.005096025950738001,0.005355396710353065,True
0.005,5.0,2029516818,False,23,0.004961063031463184,0.004831377651655653,0.005090748411270716,True
0.005,5.0,516672431,False,23,0.004994690513664678,0.004865005133857146,0.00512437589347221,True
0.005,5.0,1039200561,False,22,0.004868260907814171,0.004738575528006639,0.004997946287621703,True
0.005,5.0,1484177749,False,23,0.005049182360903994,0.0049194969810964625,0.005178867740711526,True
0.005,5.0,280258076,False,23,0.004998276054253915,0.004868590674446383,0.005127961434061447,True
0.005,5.0,267546211,False,23,0.005021247946488689,0.004891562566681157,0.005150933326296221,True
0.005,6.0,1020506548,False,23,0.00500891771948194,0.00490084656964233,0.00511698886932155,True
0.005,6.0,69858386,False,23,0.0050122470653092685,0.004904175915469659,0.005120318215148878,True
0.005,6.0,1064562151,False,23,0.005077688912723555,0.004969617762883945,0.005185760062563165,True
0.005,6.0,1360390527,False,23,0.00499178631921749,0.00488371516937788,0.0050998574690571,True
0.005,6.0,1317275514,False,23,0.005003618976922133,0.004895547827082523,0.005111690126761743,True
0.005,6.0,832010232,False,23,0.004984143473255791,0.004876072323416181,0.005092214623095401,True
0.005,6.0,95037158,False,23,0.005022861191152679,0.004914790041313069,0.005130932340992289,True
0.005,6.0,782624872,False,23,0.005016341195433478,0.004908270045593868,0.005124412345273088,True
0.005,6.0,765450058,False,23,0.004980847107487357,0.004872775957647747,0.005088918257326967,True
0.005,6.0,557022253,False,23,0.004929272154472641,0.004821201004633031,0.00503734330431225,True
0.005,6.0,641256111,False,23,0.004963202013852471,0.004855130864012861,0.005071273163692081,True
0.005,6.0,1135064261,False,23,0.004953204281227774,0.004845133131388164,0.005061275431067384,True
0.005,6.0,1864097501,False,23,0.004978387879807833,0.004870316729968223,0.005086459029647443,True
