true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.005,1.0,661571496,False,21,0.00463142303509012,0.00398299613605246,0.00527984993412778,True
0.005,1.0,950660676,False,20,0.004410864021766512,0.003762437122728852,0.005059290920804172,True
0.005,1.0,1427329647,False,22,0.00481095440251564,0.00416252750347798,0.0054593813015533,True
0.005,1.0,29389856,False,24,0.005100294512798905,0.004451867613761245,0.005748721411836565,True
0.005,1.0,1946567230,False,23,0.004936423392047057,0.004287996493009397,0.005584850291084717,True
0.005,1.0,1554940036,False,22,0.004682377457573142,0.004033950558535482,0.005330804356610802,True
0.005,1.0,598611301,False,23,0.004953675330773077,0.004305248431735417,0.005602102229810737,True
0.005,1.0,570990737,False,23,0.004932170061236122,0.004283743162198462,0.005580596960273782,True
0.005,1.0,999857613,False,23,0.005047125202706493,0.004398698303668833,0.005695552101744153,True
0.005,1.0,1493042227,False,23,0.004987525003907836,0.004339098104870176,0.005635951902945496,True
0.005,1.0,1098357349,False,23,0.00501427247134337,0.00436584557230571,0.00566269937038103,True
0.005,1.0,296742348,False,24,0.005203989484344928,0.004555562585307268,0.005852416383382588,True
0.005,1.0,1680757802,False,23,0.004929806161610629,0.004281379262572969,0.005578233060648289,True
0.005,1.0,345287562,False,23,0.004961322324193777,0.004312895425156117,0.005609749223231437,True
0.005,1.0,91037095,False,25,0.005343971381634916,0.004695544482597256,0.005992398280672576,True
0.005,1.0,1526052456,False,23,0.005023911727722563,0.004375484828684903,0.005672338626760223,True
0.005,1.0,1984767229,False,23,0.005047657729861515,0.004399230830823855,0.005696084628899175,True
0.005,1.0,1864904952,False,23,0.004955896744545532,0.0043074698455078725,0.005604323643583192,True
0.005,1.0,250127544,False,23,0.004930990769127197,0.004282563870089537,0.005579417668164857,True
0.005,1.0,178423933,False,25,0.005303551882654386,0.004655124983616726,0.005951978781692046,True
0.005,1.0,148759261,False,23,0.0048787650118515165,0.0042303381128138565,0.0055271919108891765,True
0.005,1.0,1550179868,False,22,0.00477058914580535,0.00412216224676769,0.00541901604484301,True
0.005,1.0,1480901831,False,24,0.005186114733794223,0.004537687834756563,0.005834541632831883,True
0.005,1.0,464649533,False,23,0.005019513466207935,0.004371086567170275,0.005667940365245595,True
0.005,1.0,337243637,False,25,0.005431581900947467,0.004783155001909807,0.006080008799985127,True
0.005,1.0,1563358932,False,23,0.004905384286598718,0.004256957387561058,0.005553811185636378,True
0.005,1.0,489710905,False,23,0.004910571952561097,0.004262145053523437,0.005558998851598757,True
0.005,1.0,720330107,False,26,0.005530081343206311,0.004881654444168651,0.006178508242243971,True
0.005,1.0,1214983846,False,23,0.004957480708891535,0.004309053809853875,0.005605907607929195,True
0.01,0.005,189333958,False,198,0.0428691704817141,0.0,0.17255455028924613,False
0.01,0.005,2075232858,False,452,0.0978203650270944,0.0,0.22750574483462643,False
0.01,0.005,699830934,False,284,0.06147725061180849,0.0,0.1911626304193405,False
0.01,0.005,2028975137,False,639,0.13822587469050085,0.008540494882968819,0.2679112544980329,False
0.01,0.005,572082567,False,165,0.035691047934379355,0.0,0.16537642774191139,False
0.01,0.005,16208874,False,242,0.05239279982514688,0.0,0.18207817963267892,False
0.01,0.005,435175349,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,1200766722,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,732520018,False,182,0.03931173696729881,0.0,0.16899711677483084,False
0.01,0.005,2051559996,False,0,0.0,0.0,0.12968537980753203,False
0.01,0.005,1093269473,False,727,0.15727074270716196,0.02758536289962993,0.286956122514694,False
0.01,0.005,940918027,False,216,0.04668384514643302,0.0,0.17636922495396506,False
0.01,0.005,1597184940,False,0,0.0,0.0,0.12968537980753203,False
